"","year","state","industry","unioncovpct_ind","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","unioncovpct_combined","idvar","naics","robotpct_ind","robotpct_state","robotpct_combined","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage"
"597",2020,"California","Textile mills",0,93,"Total",10839,15062871.3905,2438450.56179167,2651897.352425,0.161884844303131,0.176055237650871,"CA",17.6055237650871,8.80276188254356,"California-Textile mills-2020","313",9.4,16.4,12.9,"California-2020",78.672,6.2,57.8,9,92.8,10.3,45.95
"598",2021,"California","Textile mills",0,93,"Total",11143,15501464.3853917,2468917.72435,2757650.44105833,0.159269973635674,0.177896127104759,"CA",17.7896127104759,8.89480635523796,"California-Textile mills-2021","313",10.2,19.8,15,"California-2021",84.907,8.3,57.8,9,93,11.1,48.52
"599",2018,"Colorado","Textile mills",0.504827173426747,84,"Total",2125,2562343.31134167,281098.263541666,306932.903091667,0.109703592956066,0.119786016643047,"CO",11.9786016643047,6.24171441886574,"Colorado-Textile mills-2018","313",10,21.7,15.85,"Colorado-2018",71.953,3.9,63.4,6.5,92.5,7.4,NA
"600",2019,"Colorado","Textile mills",4.11147298291326,84,"Total",2014,2634087.76151667,238503.111625,260140.789783333,0.0905448645353317,0.0987593457102776,"CO",9.87593457102776,6.99370377697051,"Colorado-Textile mills-2019","313",9.6,21.5,15.55,"Colorado-2019",77.127,3.7,63.1,6.8,92,7.2,NA
"601",2020,"Colorado","Textile mills",0,84,"Total",1766,2471596.83036667,182645.359241667,202160.328575,0.0738977119326591,0.0817934051156044,"CO",8.17934051156044,4.08967025578022,"Colorado-Textile mills-2020","313",9.4,18.2,13.8,"Colorado-2020",75.231,4.6,63,6.8,92.2,7.4,NA
"602",2021,"Colorado","Textile mills",0,84,"Total",1841,2534734.13038334,164654.299766667,190792.707108333,0.0649591982364655,0.0752712860703468,"CO",7.52712860703468,3.76356430351734,"Colorado-Textile mills-2021","313",10.2,26.1,18.15,"Colorado-2021",82.254,5.3,63,7,92,7.7,NA
"603",2018,"Connecticut","Textile mills",0.504827173426747,16,"Total",1752,1677130.09120833,267221.60205,280082.661716667,0.159332662820816,0.167001157999039,"CT",16.7001157999039,8.60247148666531,"Connecticut-Textile mills-2018","313",10,24.1,17.05,"Connecticut-2018",76.348,5.5,61.7,10.6,94.7,7.9,48.7
"604",2019,"Connecticut","Textile mills",4.11147298291326,16,"Total",1721,1680598.08144167,243824.9352,268293.0212,0.145082235336304,0.159641399979591,"CT",15.9641399979591,10.0378064904362,"Connecticut-Textile mills-2019","313",9.6,16.9,13.25,"Connecticut-2019",78.833,5.3,62,9.9,94.1,7.3,50.78
"605",2020,"Connecticut","Textile mills",0,16,"Total",1411,1523509.77720833,260509.756458333,280200.515025,0.170993164181709,0.183917760848999,"CT",18.3917760848999,9.19588804244995,"Connecticut-Textile mills-2020","313",9.4,13.3,11.35,"Connecticut-2020",79.855,6,61.8,10.5,94.9,7.2,55.01
"606",2021,"Connecticut","Textile mills",0,16,"Total",1379,1522509.00601667,222159.007066667,247202.424141667,0.145916387438774,0.162365168333054,"CT",16.2365168333054,8.11825841665268,"Connecticut-Textile mills-2021","313",10.2,16.2,13.2,"Connecticut-2021",83.771,6.7,61.4,11.1,94.8,8.6,54.92
"607",2018,"Delaware","Textile mills",0.504827173426747,51,"Total",1844,433455.143041666,44834.5977916667,46892.3861333333,0.103435382246971,0.108182787895203,"DE",10.8182787895203,5.6615529814735,"Delaware-Textile mills-2018","313",10,11.7,10.85,"Delaware-2018",64.805,5.7,58.3,8.9,94.3,6.1,NA
"608",2019,"Delaware","Textile mills",4.11147298291326,51,"Total",1639,432587.95075,37745.785475,42886.6942583334,0.0872557461261749,0.0991398245096207,"DE",9.91398245096207,7.01272771693766,"Delaware-Textile mills-2019","313",9.6,8.4,9,"Delaware-2019",70.176,4.6,58.9,6.9,93.4,7.3,NA
"609",2020,"Delaware","Textile mills",0,51,"Total",1448,424179.351358333,42011.5875083333,44541.8031166667,0.099042035639286,0.105007007718086,"DE",10.5007007718086,5.25035038590431,"Delaware-Textile mills-2020","313",9.4,9.2,9.3,"Delaware-2020",69.11,5.8,58.2,8,94.2,6.5,NA
"610",2021,"Delaware","Textile mills",0,51,"Total",1491,434713.291858334,42402.1402166667,44189.3144083333,0.0975404754281044,0.101651631295681,"DE",10.1651631295681,5.08258156478405,"Delaware-Textile mills-2021","313",10.2,24,17.1,"Delaware-2021",71.091,5.6,57,6.6,94.3,6.9,NA
"611",2018,"Florida","Textile mills",0.504827173426747,59,"Total",6662,8712508.57215834,484161.859558333,587641.159608334,0.0555708892643452,0.0674479827284813,"FL",6.74479827284813,3.62481272313744,"Florida-Textile mills-2018","313",10,12.1,11.05,"Florida-2018",55.462,5.2,54.3,5.1,87,10.6,48.81
"612",2019,"Florida","Textile mills",4.11147298291326,59,"Total",6570,8829407.22233337,551027.889633333,666602.737108333,0.0624082535505295,0.0754980146884918,"FL",7.54980146884918,5.83063722588122,"Florida-Textile mills-2019","313",9.6,13.6,11.6,"Florida-2019",59.227,4.5,55,4.9,86.8,10.7,57.39
"613",2020,"Florida","Textile mills",0,59,"Total",5565,8150539.45516665,525489.652591667,645837.701866666,0.0644729882478714,0.0792386457324028,"FL",7.92386457324028,3.96193228662014,"Florida-Textile mills-2020","313",9.4,10,9.7,"Florida-2020",57.703,5.4,54.5,5.1,87.3,10.5,45.81
"614",2021,"Florida","Textile mills",0,59,"Total",6057,8667534.51853332,448787.85685,529534.293925,0.0517780296504498,0.0610939934849739,"FL",6.10939934849739,3.0546996742487,"Florida-Textile mills-2021","313",10.2,13.4,11.8,"Florida-2021",63.062,5.6,54.6,5.4,87.9,11,40.71
"615",2018,"Georgia","Textile mills",0.504827173426747,58,"Total",3626,4466531.372925,200070.250975,247747.1166,0.0447932034730911,0.0554674528539181,"GA",5.54674528539181,3.02578622940928,"Georgia-Textile mills-2018","313",10,23.3,16.65,"Georgia-2018",58.756,4.8,58.5,10.8,86.3,10.2,36.64
"616",2019,"Georgia","Textile mills",4.11147298291326,58,"Total",3531,4416491.65050833,179543.616825,222152.6754,0.0406529940664768,0.0503007136285305,"GA",5.03007136285305,4.57077217288315,"Georgia-Textile mills-2019","313",9.6,28,18.8,"Georgia-2019",61.98,4.8,58.8,10.6,86.6,10.4,38.07
"617",2020,"Georgia","Textile mills",0,58,"Total",2951,4174060.27776666,194261.47175,271317.141541667,0.0465401709079742,0.0650007724761963,"GA",6.50007724761963,3.25003862380981,"Georgia-Textile mills-2020","313",9.4,24.3,16.85,"Georgia-2020",61.224,5.6,58.8,10.5,87,10.1,38.77
"618",2021,"Georgia","Textile mills",0,58,"Total",3015,4404154.58066667,210781.539741667,255407.945716667,0.0478597059845924,0.0579925030469894,"GA",5.79925030469894,2.89962515234947,"Georgia-Textile mills-2021","313",10.2,28.5,19.35,"Georgia-2021",66.559,5.5,58.7,10.3,87.4,10,39.82
"619",2018,"Idaho","Textile mills",0.504827173426747,82,"Total",2579,733077.860925,34244.0949083333,41403.6739,0.0467127673327923,0.0564792305231094,"ID",5.64792305231094,3.07637511286885,"Idaho-Textile mills-2018","313",10,20.3,15.15,"Idaho-2018",55.583,4,56.8,10.2,88.9,8.6,36.17
"620",2019,"Idaho","Textile mills",4.11147298291326,82,"Total",2570,764351.713399999,37553.8499666667,46321.5672916667,0.0491316355764866,0.0606024265289307,"ID",6.06024265289307,5.08585781790316,"Idaho-Textile mills-2019","313",9.6,20.4,15,"Idaho-2019",60.999,3.3,58.4,9.6,89.2,6.9,30.97
"621",2020,"Idaho","Textile mills",0,82,"Total",2343,730782.952725001,41053.8290166667,47111.3988583333,0.0561778694391251,0.0644670203328133,"ID",6.44670203328133,3.22335101664066,"Idaho-Textile mills-2020","313",9.4,20.6,15,"Idaho-2020",58.915,4.2,57.1,9.6,89.6,7.9,NA
"622",2021,"Idaho","Textile mills",0,82,"Total",2376,765514.766216668,35741.0376416667,42193.4852916666,0.0466888956725597,0.0551177933812141,"ID",5.51177933812141,2.75588966906071,"Idaho-Textile mills-2021","313",10.2,21.5,15.85,"Idaho-2021",66.474,3.3,57.5,10,91.2,9.5,NA
"623",2018,"Illinois","Textile mills",0.504827173426747,33,"Total",4646,5693575.38190834,785965.815291667,839168.311583333,0.138044327497482,0.147388637065887,"IL",14.7388637065887,7.62184544000775,"Illinois-Textile mills-2018","313",10,24,17,"Illinois-2018",65.03,5.5,60.7,11.8,93,8.8,61.79
"624",2019,"Illinois","Textile mills",4.11147298291326,33,"Total",4320,5660933.76143334,771464.710249999,833095.339541666,0.136278703808784,0.147165715694427,"IL",14.7165715694427,9.414022276178,"Illinois-Textile mills-2019","313",9.6,29.5,19.55,"Illinois-2019",69.187,4.8,60.7,11.8,92.6,8.6,49.7
"625",2020,"Illinois","Textile mills",0,33,"Total",3745,5176009.15815834,736186.01075,785274.3027,0.142230436205864,0.151714235544205,"IL",15.1714235544205,7.58571177721024,"Illinois-Textile mills-2020","313",9.4,23.9,16.65,"Illinois-2020",68.428,6,60.6,11.7,93.2,8.8,48.36
"626",2021,"Illinois","Textile mills",0,33,"Total",3773,5396680.14858335,752063.291983333,818268.248266666,0.139356657862663,0.151624366641045,"IL",15.1624366641045,7.58121833205223,"Illinois-Textile mills-2021","313",10.2,29,19.6,"Illinois-2021",72.205,7.4,60.3,11.9,93,10,47.42
"627",2018,"Indiana","Textile mills",0.504827173426747,32,"Total",2846,3051383.4439,269025.4675,283151.830283333,0.0881650820374489,0.0927945747971535,"IN",9.27945747971535,4.89214232657105,"Indiana-Textile mills-2018","313",10,29.8,19.9,"Indiana-2018",55.746,4.4,59.3,19.4,91.7,7.9,43.52
"628",2019,"Indiana","Textile mills",4.11147298291326,32,"Total",2620,3008608.56343333,248802.307525,295103.815933333,0.0826968029141426,0.0980864763259888,"IN",9.80864763259888,6.96006030775607,"Indiana-Textile mills-2019","313",9.6,31.5,20.55,"Indiana-2019",57.603,4.2,59.4,18.5,91.3,7.7,38.83
"629",2020,"Indiana","Textile mills",0,32,"Total",2273,2837580.632625,234063.937658333,271097.130141667,0.0824871510267258,0.0955381244421005,"IN",9.55381244421005,4.77690622210503,"Indiana-Textile mills-2020","313",9.4,27.4,18.4,"Indiana-2020",58.235,4.7,59.1,18.7,92,7.4,39.74
"630",2021,"Indiana","Textile mills",0,32,"Total",2322,2843033.08610833,255682.105233333,289545.670816667,0.0899328663945198,0.101843930780888,"IN",10.1843930780888,5.09219653904438,"Indiana-Textile mills-2021","313",10.2,29,19.6,"Indiana-2021",62.743,4.7,58.6,18.2,92.5,8.6,44.16
"631",2018,"Iowa","Textile mills",0.504827173426747,42,"Total",1972,1461068.83728334,112771.035675,129144.088025,0.0771839320659637,0.0883901491761208,"IA",8.83901491761208,4.67192104551941,"Iowa-Textile mills-2018","313",10,31.4,20.7,"Iowa-2018",59.955,3.6,62.7,15.1,95.3,7.1,NA
"632",2019,"Iowa","Textile mills",4.11147298291326,42,"Total",2088,1544328.75866667,96938.6436833334,121465.49915,0.0627707317471504,0.0786526203155518,"IA",7.86526203155518,5.98836750723422,"Iowa-Textile mills-2019","313",9.6,32.6,21.1,"Iowa-2019",61.691,3.7,62.8,15.1,95,7.4,NA
"633",2020,"Iowa","Textile mills",0,42,"Total",1759,1399233.85941667,92035.9830083334,127232.565366667,0.0657759830355644,0.090930163860321,"IA",9.0930163860321,4.54650819301605,"Iowa-Textile mills-2020","313",9.4,27.6,18.5,"Iowa-2020",61.836,3.9,62.7,14.7,95.3,7,34.87
"634",2021,"Iowa","Textile mills",0,42,"Total",1643,1426247.75021667,92819.858425,117738.099708333,0.0650797560811043,0.0825509428977966,"IA",8.25509428977966,4.12754714488983,"Iowa-Textile mills-2021","313",10.2,35.4,22.8,"Iowa-2021",65.6,3.6,61.9,15,95.2,8.4,NA
"635",2018,"Kansas","Textile mills",0.504827173426747,47,"Total",2079,1284599.49406667,90558.4891166667,129282.525666667,0.0704955011606216,0.100640334188938,"KS",10.0640334188938,5.28443029616028,"Kansas-Textile mills-2018","313",10,31,20.5,"Kansas-2018",58.218,3.8,61.4,12.3,91.2,8,NA
"636",2019,"Kansas","Textile mills",4.11147298291326,47,"Total",2033,1280818.39591667,111105.287291667,129275.148775,0.0867455452680588,0.10093167424202,"KS",10.093167424202,7.10232020355761,"Kansas-Textile mills-2019","313",9.6,36.2,22.9,"Kansas-2019",62.087,3.8,61.7,12.6,90.8,7.2,NA
"637",2020,"Kansas","Textile mills",0,47,"Total",1901,1281583.90251666,113273.489916667,143859.675025,0.0883855447173119,0.112251468002796,"KS",11.2251468002796,5.61257340013981,"Kansas-Textile mills-2020","313",9.4,33.9,21.65,"Kansas-2020",61.091,4.1,61.6,12.5,91.3,7.7,NA
"638",2021,"Kansas","Textile mills",0,47,"Total",1853,1300690.58775833,119599.810308333,147381.597441666,0.0919510051608086,0.113310270011425,"KS",11.3310270011425,5.66551350057125,"Kansas-Textile mills-2021","313",10.2,40.1,25.15,"Kansas-2021",64.124,4.4,61.2,11.8,90.8,9.1,38.88
"639",2018,"Kentucky","Textile mills",0.504827173426747,61,"Total",1876,1810365.73865001,160209.401175,206137.28885,0.088495597243309,0.113864995539188,"KY",11.3864995539188,5.94566336367279,"Kentucky-Textile mills-2018","313",10,32,21,"Kentucky-2018",50.247,5.2,54.8,13.9,94.4,10.2,NA
"640",2019,"Kentucky","Textile mills",4.11147298291326,61,"Total",1683,1785878.66724167,143088.887675,168555.676408333,0.0801224038004875,0.0943824872374535,"KY",9.43824872374535,6.7748608533293,"Kentucky-Textile mills-2019","313",9.6,39,24.3,"Kentucky-2019",52.295,4.8,54.9,14.3,93.6,11.6,NA
"641",2020,"Kentucky","Textile mills",0,61,"Total",1520,1691407.11766667,126137.559191667,158323.085141667,0.0745755136013031,0.0936043635010719,"KY",9.36043635010719,4.6802181750536,"Kentucky-Textile mills-2020","313",9.4,34.6,22,"Kentucky-2020",52.238,5.4,55.2,14.3,94.4,11,47.5
"642",2021,"Kentucky","Textile mills",0,61,"Total",1537,1738084.64928333,124914.098016667,169277.430575,0.071868821978569,0.097393088042736,"KY",9.7393088042736,4.8696544021368,"Kentucky-Textile mills-2021","313",10.2,35,22.6,"Kentucky-2021",55.573,5.4,54.7,14.4,94.3,11.7,48.38
"643",2018,"Louisiana","Textile mills",0.504827173426747,72,"Total",3299,1787075.90218333,89016.0169083334,103899.329425,0.0498109869658947,0.05813929438591,"LA",5.813929438591,3.15937830600888,"Louisiana-Textile mills-2018","313",10,13.8,11.9,"Louisiana-2018",47.905,6.4,55.1,7.7,92,12.4,50.93
"644",2019,"Louisiana","Textile mills",4.11147298291326,72,"Total",3268,1779714.8789,94069.8782,107457.054966667,0.0528567135334015,0.0603788048028946,"LA",6.03788048028946,5.07467673160136,"Louisiana-Textile mills-2019","313",9.6,13.4,11.5,"Louisiana-2019",51.073,5.5,55.3,7.3,91.1,13.2,44.75
"645",2020,"Louisiana","Textile mills",0,72,"Total",2810,1681295.75945833,98966.17315,112880.886041667,0.0588630363345146,0.0671392232179642,"LA",6.71392232179642,3.35696116089821,"Louisiana-Textile mills-2020","313",9.4,12.6,11,"Louisiana-2020",50.8,6.6,55.3,7.6,91.3,11.9,44.84
"646",2021,"Louisiana","Textile mills",0,72,"Total",2822,1722710.39881666,80763.7306666666,98463.3982,0.0468817800283432,0.0571560934185982,"LA",5.71560934185982,2.85780467092991,"Louisiana-Textile mills-2021","313",10.2,18.9,14.55,"Louisiana-2021",52.087,7.6,55.2,7.2,92.4,14.1,39.01
"647",2018,"Maine","Textile mills",0.504827173426747,11,"Total",1302,572761.129974999,73904.7573416667,84691.5879083334,0.129032418131828,0.147865459322929,"ME",14.7865459322929,7.64568655285984,"Maine-Textile mills-2018","313",10,29.2,19.6,"Maine-2018",55.602,3.5,59.7,8.6,92,9.1,43.89
"648",2019,"Maine","Textile mills",4.11147298291326,11,"Total",1226,589203.931200001,69424.404925,80850.5781333333,0.117827460169792,0.137220025062561,"ME",13.7220025062561,8.91673774458468,"Maine-Textile mills-2019","313",9.6,35.2,22.4,"Maine-2019",58.924,3.5,59.3,8.7,92,8.5,42.34
"649",2020,"Maine","Textile mills",0,11,"Total",1113,556949.762816667,81184.6501416667,92623.068925,0.14576655626297,0.166304171085358,"ME",16.6304171085358,8.31520855426788,"Maine-Textile mills-2020","313",9.4,37.7,23.55,"Maine-2020",59.489,4,59.6,8.7,92.4,8.5,43.94
"650",2021,"Maine","Textile mills",0,11,"Total",1022,562840.787341666,69647.8457916667,82797.8926416666,0.123743422329426,0.147107124328613,"ME",14.7107124328613,7.35535621643066,"Maine-Textile mills-2021","313",10.2,38,24.1,"Maine-2021",64.767,4.9,57.9,9.8,94.3,9.2,48.65
"651",2018,"Maryland","Textile mills",0.504827173426747,52,"Total",2263,2781321.44276667,306318.055633334,334615.071441667,0.110133998095989,0.120307944715023,"MD",12.0307944715023,6.26781082246453,"Maryland-Textile mills-2018","313",10,17.6,13.8,"Maryland-2018",83.242,4.9,63.8,4.5,94,7.3,56.18
"652",2019,"Maryland","Textile mills",4.11147298291326,52,"Total",2091,2909903.01382501,328812.953191667,370487.438958334,0.112997904419899,0.127319514751434,"MD",12.7319514751434,8.42171222902834,"Maryland-Textile mills-2019","313",9.6,17.9,13.75,"Maryland-2019",86.738,4.5,63.7,4.3,94,7.8,54.61
"653",2020,"Maryland","Textile mills",0,52,"Total",1805,2694148.7317,352667.854591667,381563.416825,0.130901411175728,0.141626715660095,"MD",14.1626715660095,7.08133578300476,"Maryland-Textile mills-2020","313",9.4,13.8,11.6,"Maryland-2020",87.063,5.2,63.6,4.5,94.1,7.9,46.99
"654",2021,"Maryland","Textile mills",0,52,"Total",1774,2689273.96645,293968.536933333,331435.068666666,0.109311483800411,0.123243324458599,"MD",12.3243324458599,6.16216622292995,"Maryland-Textile mills-2021","313",10.2,21.5,15.85,"Maryland-2021",90.203,5.9,62.5,4.9,93.9,9.1,48.04
"655",2018,"Massachusetts","Textile mills",0.504827173426747,14,"Total",3744,3392452.28727499,462738.796283333,490970.14495,0.136402443051338,0.144724264740944,"MA",14.4724264740944,7.48862682376057,"Massachusetts-Textile mills-2018","313",10,16.2,13.1,"Massachusetts-2018",79.835,4.8,63.2,8.6,97.2,9.1,50.45
"656",2019,"Massachusetts","Textile mills",4.11147298291326,14,"Total",3535,3393047.54160833,406341.096108334,448921.543891667,0.119756974279881,0.132306292653084,"MA",13.2306292653084,8.67105112411082,"Massachusetts-Textile mills-2019","313",9.6,20.8,15.2,"Massachusetts-2019",85.843,3.9,63.7,8.6,97,9.1,49.53
"657",2020,"Massachusetts","Textile mills",0,14,"Total",2954,2987256.17103334,357740.277583333,384272.875716666,0.119755476713181,0.128637403249741,"MA",12.8637403249741,6.43187016248703,"Massachusetts-Textile mills-2020","313",9.4,17.9,13.65,"Massachusetts-2020",84.385,5.1,63.4,8.8,97.3,8.9,52.38
"658",2021,"Massachusetts","Textile mills",0,14,"Total",3100,3182737.84914166,401304.101416666,432563.698091666,0.126087695360184,0.135909304022789,"MA",13.5909304022789,6.79546520113945,"Massachusetts-Textile mills-2021","313",10.2,21.5,15.85,"Massachusetts-2021",89.645,6.6,63.1,8.9,97.5,10.6,60.55
"659",2018,"Michigan","Textile mills",0.504827173426747,34,"Total",3689,4318617.77428333,624598.149558334,662455.79875,0.144629180431366,0.15339532494545,"MI",15.339532494545,7.92217983398587,"Michigan-Textile mills-2018","313",10,35.6,22.8,"Michigan-2018",56.697,5.3,57,18.8,94.6,9,45.56
"660",2019,"Michigan","Textile mills",4.11147298291326,34,"Total",3535,4324868.71914165,591147.533516667,649732.071658334,0.136685654520988,0.150231629610062,"MI",15.0231629610062,9.56731797195971,"Michigan-Textile mills-2019","313",9.6,40.5,25.05,"Michigan-2019",59.584,5,57.5,18.5,94.2,8.4,48.46
"661",2020,"Michigan","Textile mills",0,34,"Total",3055,3978295.12545832,605090.285666666,661431.668883334,0.152097880840302,0.166260078549385,"MI",16.6260078549385,8.31300392746925,"Michigan-Textile mills-2020","313",9.4,36.2,22.8,"Michigan-2020",59.234,6,57.2,18.6,94.6,8.5,40.96
"662",2021,"Michigan","Textile mills",0,34,"Total",2966,4049359.17238333,538700.922658334,618951.173783333,0.133033618330956,0.152851641178131,"MI",15.2851641178131,7.64258205890656,"Michigan-Textile mills-2021","313",10.2,44.4,27.3,"Michigan-2021",63.498,6.9,56.5,18.6,95,9.3,46.71
"663",2018,"Minnesota","Textile mills",0.504827173426747,41,"Total",2304,2637049.50702501,395407.374566667,421226.224466667,0.149943098425865,0.159733906388283,"MN",15.9733906388283,8.23910890612751,"Minnesota-Textile mills-2018","313",10,24.5,17.25,"Minnesota-2018",70.315,3.4,65.9,13.1,95.6,7.6,40.3
"664",2019,"Minnesota","Textile mills",4.11147298291326,41,"Total",2230,2661670.65879999,363392.146166667,379693.690733333,0.136527836322784,0.14265239238739,"MN",14.265239238739,9.18835611082613,"Minnesota-Textile mills-2019","313",9.6,31.4,20.5,"Minnesota-2019",74.593,3.2,65.8,13.4,95.1,7.4,39.98
"665",2020,"Minnesota","Textile mills",0,41,"Total",1965,2519499.609925,398606.882608333,427661.582616667,0.15820874273777,0.169740676879883,"MN",16.9740676879883,8.48703384399414,"Minnesota-Textile mills-2020","313",9.4,22.8,16.1,"Minnesota-2020",73.382,3.8,65.6,13.4,95.5,7.1,47.62
"666",2021,"Minnesota","Textile mills",0,41,"Total",1889,2610490.669975,416340.399266667,446390.183391667,0.159487411379814,0.170998573303223,"MN",17.0998573303223,8.54992866516113,"Minnesota-Textile mills-2021","313",10.2,31.4,20.8,"Minnesota-2021",77.72,4.9,65,13.3,95.5,8.5,50.85
"667",2018,"Mississippi","Textile mills",0.504827173426747,64,"Total",2635,1122639.96076667,57656.2595083333,79852.5970166667,0.0513577461242676,0.0711292997002602,"MS",7.11292997002602,3.80887857172638,"Mississippi-Textile mills-2018","313",10,21.9,15.95,"Mississippi-2018",44.717,7.1,52.9,13.2,87.9,12.4,44.34
"668",2019,"Mississippi","Textile mills",4.11147298291326,64,"Total",2461,1104367.1386,69574.7903083333,93187.225175,0.0629996955394745,0.0843806564807892,"MS",8.43806564807892,6.27476931549609,"Mississippi-Textile mills-2019","313",9.6,30.5,20.05,"Mississippi-2019",45.792,6.6,53.4,13.5,87,13.2,46.05
"669",2020,"Mississippi","Textile mills",0,64,"Total",2203,1033459.18861667,74079.5668416667,85825.4911,0.0716811716556549,0.0830468088388443,"MS",8.30468088388443,4.15234044194221,"Mississippi-Textile mills-2020","313",9.4,17.8,13.6,"Mississippi-2020",46.511,7.1,53.9,13.2,88,12.8,38.87
"670",2021,"Mississippi","Textile mills",0,64,"Total",2198,1080609.803025,58955.7818083333,74385.546925,0.0545578822493553,0.0688366368412971,"MS",6.88366368412971,3.44183184206486,"Mississippi-Textile mills-2021","313",10.2,21,15.6,"Mississippi-2021",48.716,6.4,53.6,12.9,88.1,13.8,42.21
"671",2018,"Missouri","Textile mills",0.504827173426747,43,"Total",2282,2681075.86456667,251769.568608333,283111.17635,0.0939061716198921,0.105596110224724,"MO",10.5596110224724,5.53221909794956,"Missouri-Textile mills-2018","313",10,23.1,16.55,"Missouri-2018",54.478,4.2,58.6,11.4,90.6,8.2,42.92
"672",2019,"Missouri","Textile mills",4.11147298291326,43,"Total",2155,2662183.82105834,296296.955083334,332315.270516667,0.111298456788063,0.124828070402145,"MO",12.4828070402145,8.2971400115639,"Missouri-Textile mills-2019","313",9.6,35.9,22.75,"Missouri-2019",57.409,3.8,58.9,11.1,90,8.9,41.67
"673",2020,"Missouri","Textile mills",0,43,"Total",1971,2525904.2868,237238.413125,253311.4546,0.0939221680164337,0.100285455584526,"MO",10.0285455584526,5.0142727792263,"Missouri-Textile mills-2020","313",9.4,33.3,21.35,"Missouri-2020",57.29,4.5,59.1,11.4,90.6,8.6,45.19
"674",2021,"Missouri","Textile mills",0,43,"Total",2008,2615502.37475833,235211.745333333,266612.276266667,0.0899298563599586,0.101935401558876,"MO",10.1935401558876,5.0967700779438,"Missouri-Textile mills-2021","313",10.2,35.5,22.85,"Missouri-2021",61.847,4.6,58.8,11.6,90.6,9.5,50.56
"675",2019,"Montana","Textile mills",4.11147298291326,81,"Total",2627,437101.817791666,46021.9227166666,52245.8398083333,0.105288796126842,0.119527846574783,"MT",11.9527846574783,8.03212882019579,"Montana-Textile mills-2019","313",9.6,8.8,9.2,"Montana-2019",57.153,4.1,59.1,4.9,91.7,8.6,NA
"676",2020,"Montana","Textile mills",0,81,"Total",2341,419396.123858333,50323.559775,54181.4877416667,0.119990520179272,0.129189297556877,"MT",12.9189297556877,6.45946487784386,"Montana-Textile mills-2020","313",9.4,9.2,9.3,"Montana-2020",56.539,4.2,59.8,5,91.6,8.9,NA
"677",2021,"Montana","Textile mills",0,81,"Total",2257,437543.961391667,49001.6227,56287.5801583333,0.111992456018925,0.128644406795502,"MT",12.8644406795502,6.43222033977509,"Montana-Textile mills-2021","313",10.2,8.1,9.15,"Montana-2021",63.249,4,58.2,4.1,91.8,8.8,NA
"678",2018,"Nebraska","Textile mills",0.504827173426747,46,"Total",2133,883808.450108332,58446.8763416667,70849.7049416667,0.066130705177784,0.0801640972495079,"NE",8.01640972495079,4.26061844918877,"Nebraska-Textile mills-2018","313",10,26,18,"Nebraska-2018",59.566,3.5,64.6,9.7,91.7,7.6,NA
"679",2019,"Nebraska","Textile mills",4.11147298291326,46,"Total",2118,894551.953941666,74429.693175,85390.3943583333,0.0832033231854439,0.0954560488462448,"NE",9.54560488462448,6.82853893376887,"Nebraska-Textile mills-2019","313",9.6,31.9,20.75,"Nebraska-2019",63.229,3.3,64.7,10.1,91.7,8.1,NA
"680",2020,"Nebraska","Textile mills",0,46,"Total",2007,889730.850391667,85247.8938583333,93669.1619083333,0.095813125371933,0.105278089642525,"NE",10.5278089642525,5.26390448212624,"Nebraska-Textile mills-2020","313",9.4,27.2,18.3,"Nebraska-2020",63.015,3.4,64.8,10.2,91.9,7.8,NA
"681",2021,"Nebraska","Textile mills",0,46,"Total",1947,898442.131791666,60853.6445083334,71362.7942166667,0.0677324011921883,0.0794294849038124,"NE",7.94294849038124,3.97147424519062,"Nebraska-Textile mills-2021","313",10.2,25.9,18.05,"Nebraska-2021",66.817,2.7,64.2,10.6,92.9,8.7,42.61
"682",2018,"Nevada","Textile mills",0.504827173426747,88,"Total",2145,1377051.78956666,190774.387783333,215462.664333334,0.138538286089897,0.156466633081436,"NV",15.6466633081436,8.07574524078518,"Nevada-Textile mills-2018","313",10,11.7,10.85,"Nevada-2018",58.646,5.6,59.1,4.7,88.8,9.8,NA
"683",2019,"Nevada","Textile mills",4.11147298291326,88,"Total",2116,1378726.80553334,200666.534291667,221338.865041667,0.145544812083244,0.160538598895073,"NV",16.0538598895073,10.0826664362103,"Nevada-Textile mills-2019","313",9.6,10.9,10.25,"Nevada-2019",63.276,5.1,58.3,5,88.6,9.5,NA
"684",2020,"Nevada","Textile mills",0,88,"Total",1719,1209985.94033333,161575.369675,186057.130508333,0.133534908294678,0.153768002986908,"NV",15.3768002986908,7.6884001493454,"Nevada-Textile mills-2020","313",9.4,12.9,11.15,"Nevada-2020",62.043,6.6,58.6,4.8,88.8,9.2,NA
"685",2021,"Nevada","Textile mills",0,88,"Total",1748,1250012.45454166,152243.3167,175316.03235,0.121793441474438,0.14025142788887,"NV",14.025142788887,7.01257139444351,"Nevada-Textile mills-2021","313",10.2,17.6,13.9,"Nevada-2021",66.274,9.7,58.6,5.4,88.4,11.3,NA
